Date,EFT-Gold,EFT-Silver
02-01-2009,13.37,
05-01-2009,13.1555,
06-01-2009,13.04,
07-01-2009,13.215,
09-01-2009,13.1689,
12-01-2009,13.09,
13-01-2009,12.9654,
14-01-2009,13.02,
15-01-2009,12.864,
16-01-2009,13.0,
19-01-2009,13.1,
20-01-2009,13.0723,
21-01-2009,13.45,
22-01-2009,13.36,
23-01-2009,13.5,
27-01-2009,13.692,
28-01-2009,13.5,
29-01-2009,13.4598,
30-01-2009,14.0,
02-02-2009,14.01,
03-02-2009,13.8715,
04-02-2009,13.824,
05-02-2009,13.94,
06-02-2009,13.9425,
09-02-2009,13.88,
10-02-2009,13.87,
11-02-2009,14.141,
12-02-2009,14.48,
13-02-2009,14.4015,
16-02-2009,14.5385,
17-02-2009,15.04,
18-02-2009,15.444,
19-02-2009,15.3703,
20-02-2009,15.4504,
24-02-2009,15.445,
25-02-2009,14.98,
26-02-2009,14.901,
27-02-2009,15.079,
02-03-2009,15.43,
03-03-2009,15.1,
04-03-2009,14.9144,
05-03-2009,14.9,
06-03-2009,15.266,
09-03-2009,15.2639,
12-03-2009,14.931,
13-03-2009,15.0,
16-03-2009,15.0212,
17-03-2009,14.94,
18-03-2009,14.89,
19-03-2009,14.9025,
20-03-2009,15.2997,
23-03-2009,15.32,
24-03-2009,15.149,
25-03-2009,14.89,
26-03-2009,15.07,
27-03-2009,15.07,
30-03-2009,15.1,
31-03-2009,14.9344,
01-04-2009,14.9,
02-04-2009,14.72,
06-04-2009,14.04,
08-04-2009,14.3699,
09-04-2009,14.187,
13-04-2009,14.2299,
15-04-2009,14.241,
16-04-2009,14.2101,
17-04-2009,13.911,
20-04-2009,14.01,
21-04-2009,14.2599,
22-04-2009,14.25,
23-04-2009,14.27,
24-04-2009,14.5999,
27-04-2009,14.639,
28-04-2009,14.51,
29-04-2009,14.3799,
04-05-2009,14.2479,
05-05-2009,14.2892,
06-05-2009,14.3389,
07-05-2009,14.43,
08-05-2009,14.4498,
11-05-2009,14.4,
12-05-2009,14.4493,
13-05-2009,14.64,
14-05-2009,14.63,
15-05-2009,14.6055,
18-05-2009,14.6296,
19-05-2009,14.08,
20-05-2009,14.06,
21-05-2009,14.23,
22-05-2009,14.34,
25-05-2009,14.38,
26-05-2009,14.38,
27-05-2009,14.415,
28-05-2009,14.52,
29-05-2009,14.67,
01-06-2009,14.8,
02-06-2009,14.6401,
03-06-2009,14.725,
04-06-2009,14.62,
05-06-2009,14.794,
08-06-2009,14.5889,
09-06-2009,14.4035,
10-06-2009,14.575,
11-06-2009,14.535,
12-06-2009,14.42,
15-06-2009,14.301,
16-06-2009,14.34,
17-06-2009,14.29339,
18-06-2009,14.41,
19-06-2009,14.37,
22-06-2009,14.3,
23-06-2009,14.31,
24-06-2009,14.39,
25-06-2009,14.49,
26-06-2009,14.561,
29-06-2009,14.4201,
30-06-2009,14.4255,
01-07-2009,14.32,
02-07-2009,14.365,
03-07-2009,14.3,
06-07-2009,14.4151,
07-07-2009,14.48,
08-07-2009,14.4765,
09-07-2009,14.3702,
10-07-2009,14.3174,
13-07-2009,14.468,
14-07-2009,14.5,
15-07-2009,14.54,
16-07-2009,14.7,
17-07-2009,14.715,
20-07-2009,14.7399,
21-07-2009,14.778,
22-07-2009,14.74,
23-07-2009,14.869,
24-07-2009,14.7731,
27-07-2009,14.831,
28-07-2009,14.799,
29-07-2009,14.565,
30-07-2009,14.511,
31-07-2009,14.5579,
03-08-2009,14.6874,
04-08-2009,14.6334,
05-08-2009,14.78,
06-08-2009,14.8,
07-08-2009,14.84,
10-08-2009,14.765,
11-08-2009,14.636,
12-08-2009,14.725,
13-08-2009,14.82,
14-08-2009,14.86,
17-08-2009,14.755,
18-08-2009,14.73613,
19-08-2009,14.6739,
20-08-2009,14.80447,
21-08-2009,14.78514,
24-08-2009,14.92,
25-08-2009,14.8899,
26-08-2009,14.94,
27-08-2009,14.88,
28-08-2009,14.95,
31-08-2009,15.05,
01-09-2009,14.992,
02-09-2009,15.1195,
03-09-2009,15.5655,
04-09-2009,15.56,
07-09-2009,15.67,
08-09-2009,15.725,
09-09-2009,15.5522,
10-09-2009,15.42,
11-09-2009,15.68,
14-09-2009,15.7,
15-09-2009,15.682,
16-09-2009,15.89,
17-09-2009,15.825,
18-09-2009,15.761,
22-09-2009,15.77,
23-09-2009,15.73,
24-09-2009,15.68,
25-09-2009,15.4748,
29-09-2009,15.3703,
30-09-2009,15.4685,
01-10-2009,15.5,
05-10-2009,15.405,
06-10-2009,15.5,
07-10-2009,15.7501,
08-10-2009,15.75,
09-10-2009,15.67,
12-10-2009,15.78,
13-10-2009,15.7479,
14-10-2009,15.82,
15-10-2009,15.61,
16-10-2009,15.6265,
20-10-2009,15.75,
21-10-2009,15.7279,
22-10-2009,15.79,
23-10-2009,15.79,
26-10-2009,15.7449,
27-10-2009,15.65,
28-10-2009,15.65,
29-10-2009,15.63,
30-10-2009,15.73,
03-11-2009,15.95,
04-11-2009,16.424999,
05-11-2009,16.440001,
06-11-2009,16.4035,
09-11-2009,16.514999,
10-11-2009,16.475,
11-11-2009,16.58,
12-11-2009,16.68,
13-11-2009,16.5222,
16-11-2009,16.7689,
17-11-2009,16.8225,
18-11-2009,17.040001,
19-11-2009,16.962099,
20-11-2009,17.09,
23-11-2009,17.3999,
24-11-2009,17.4715,
25-11-2009,17.52,
26-11-2009,17.68,
27-11-2009,17.42,
30-11-2009,17.450001,
01-12-2009,17.7995,
02-12-2009,18.0,
03-12-2009,18.030001,
04-12-2009,17.865,
07-12-2009,17.17,
08-12-2009,17.379999,
09-12-2009,17.01,
10-12-2009,16.870001,
11-12-2009,17.0,
14-12-2009,16.83,
15-12-2009,16.7321,
16-12-2009,16.958,
17-12-2009,16.92,
18-12-2009,16.645,
21-12-2009,16.719999,
22-12-2009,16.465,
23-12-2009,16.278999,
24-12-2009,16.584999,
29-12-2009,16.545,
30-12-2009,16.370001,
31-12-2009,16.52,
04-01-2010,16.5499,
05-01-2010,16.68,
06-01-2010,16.6,
07-01-2010,16.572001,
08-01-2010,16.49,
